track_id,artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
34728,Black Rebel Motorcycle Club,Spread Your Love,59,225333,False,0.415,0.901,2,-3.124,1,0.0428,0.00987,0.361,0.136,0.424,128.216,4,garage
64478,Kamisa 10,Tesão a Primeira Vista (Ao Vivo em Goiânia),51,156230,True,0.702,0.739,7,-5.825,1,0.0976,0.494,0.0,0.949,0.757,129.881,4,pagode
32047,Japãozin,Patricinha,41,143617,False,0.738,0.866,10,-3.958,1,0.0435,0.075,1.56e-05,0.0539,0.875,166.047,4,forro
74389,Vladimir Nechaev;Владимир Бунчиков,Песня о двух друзьях,0,236679,False,0.565,0.318,3,-13.133,1,0.0626,0.943,0.0,0.134,0.719,76.692,4,romance
64153,Secret Garden,Song From a Secret Garden - Live,21,192280,False,0.114,0.465,0,-9.851,0,0.0925,0.933,0.949,0.977,0.0432,59.266,4,opera
65826,Wolfgang Petry,"Bronze, Silber und Gold - Live",26,233133,False,0.479,0.932,10,-5.224,1,0.0551,0.123,0.0,0.309,0.331,129.038,4,party
35169,CRO,FENSTER,0,185493,False,0.703,0.618,7,-9.037,1,0.0847,0.389,0.00407,0.153,0.391,90.085,4,german
53285,Michael Bublé,It's Beginning to Look a Lot Like Christmas,0,206346,False,0.335,0.232,4,-11.042,1,0.0334,0.908,8.89e-06,0.292,0.381,93.391,3,j-pop
83425,ABBA,Super Trouper,72,252853,False,0.764,0.626,0,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34,4,swedish
53354,Norah Jones,Wintertime,0,228234,False,0.525,0.205,0,-12.519,1,0.0457,0.84,0.0213,0.114,0.207,183.468,4,j-pop
78410,Thomas Sanders,Landslide,22,197033,False,0.349,0.166,7,-10.783,1,0.0355,0.839,0.0,0.127,0.176,116.184,4,show-tunes
64701,Péricles,É no Pagode / Já Que Tá Gostoso Deixa - Ao Vivo,45,287031,False,0.679,0.768,9,-5.648,1,0.0593,0.493,0.0,0.968,0.826,107.963,4,pagode
18024,Dan + Shay,Nothin' Like You,0,186253,False,0.586,0.704,4,-4.772,1,0.0307,0.15,0.0,0.067,0.442,84.982,4,country
69725,The Beach Boys,Little Saint Nick - 1991 Remix,0,118840,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971,130.594,4,psych-rock
20265,Sean Paul;Beyoncé,Baby Boy (feat. Beyoncé ),62,246706,False,0.658,0.621,1,-5.725,1,0.231,0.0667,2.46e-06,0.142,0.817,91.267,4,dancehall
70064,PJ Harvey,Red Right Hand,35,170693,False,0.24,0.0708,7,-21.21,1,0.0414,0.986,0.00599,0.0863,0.0373,169.672,4,psych-rock
66359,Jacob David,Blåregn,54,160000,False,0.293,0.127,2,-30.206,1,0.165,0.97,0.951,0.11,0.556,171.198,4,piano
59812,Jay Chou,一點點,46,221266,False,0.507,0.413,7,-7.49,1,0.0277,0.119,1.66e-05,0.0886,0.172,133.966,4,mandopop
42762,MC Lyte,Cha Cha Cha,0,181653,True,0.795,0.736,5,-12.712,1,0.61,0.485,0.0,0.334,0.953,91.411,4,hardcore
75521,Eddie Santiago,Una Mujer Como Tú,34,261596,False,0.6,0.723,0,-9.503,1,0.0391,0.607,0.000192,0.0995,0.919,170.059,4,salsa
61345,The YellowHeads,Error 909,27,306461,False,0.644,0.96,2,-6.978,1,0.0462,0.039,0.93,0.134,0.1,129.978,4,minimal-techno
35778,Die Toten Hosen,Freunde,37,240733,False,0.704,0.711,4,-5.746,0,0.0306,0.00908,1.96e-05,0.454,0.428,94.011,4,german
37821,Impetigo,Jane Fonda Sucks Pt. 2,13,42773,False,0.258,0.977,4,-4.513,0,0.182,1.13e-05,0.106,0.132,0.454,169.353,4,grindcore
76538,Adoniran Barbosa,Saudosa Maloca,38,140706,False,0.683,0.53,6,-15.133,0,0.269,0.647,3.31e-06,0.109,0.767,96.881,4,samba
83200,Dusty Decks,Swing Platter,23,143574,False,0.599,0.354,3,-11.341,1,0.0323,0.789,0.295,0.167,0.363,74.978,4,study
76414,Toninho Geraes,Oxossi,39,234560,False,0.681,0.527,6,-9.506,0,0.0764,0.816,0.0,0.096,0.643,101.865,4,samba
57895,Anuel AA;Romeo Santos,Ella Quiere Beber - Remix,76,219357,False,0.75,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.697,95.239,4,latino
48086,Gescom,Key nell 4,8,666493,False,0.456,0.936,0,-11.446,1,0.141,0.562,0.897,0.377,0.114,111.599,4,idm
54663,Dean Martin,Winter Wonderland,0,114226,False,0.446,0.245,0,-14.733,1,0.0349,0.905,3.07e-05,0.122,0.458,129.416,4,jazz
67148,Shankar-Ehsaan-Loy;Shafqat Amanat Ali,Tere Naina,62,278546,False,0.522,0.74,0,-7.018,1,0.0465,0.558,0.0,0.144,0.732,92.618,4,pop-film
89545,Buena Vista Social Club,De Camino a la Vereda,11,303973,False,0.63,0.462,3,-10.792,1,0.0406,0.849,0.000186,0.125,0.963,84.252,4,world-music
60999,Kolombo;Malikk,I Take Ya - Kolombo Special Version,28,256585,False,0.805,0.938,9,-4.74,0,0.0888,0.00258,0.214,0.0526,0.263,123.002,4,minimal-techno
24077,The Gap Band,Shake,33,298066,False,0.873,0.506,0,-13.739,1,0.0451,0.0744,0.163,0.0745,0.791,100.286,4,disco
23942,Jürgen Drews;Matthias Reim,Ich bau dir ein Schloss,0,186946,False,0.678,0.995,3,-4.599,1,0.0681,0.076,0.0,0.379,0.742,130.013,4,disco
72306,Jorge Muñiz,Me Va A Extrañar,33,300253,False,0.581,0.417,11,-8.509,1,0.03,0.795,2.78e-06,0.706,0.217,131.917,4,rock-n-roll
76771,Caju Pra Baixo,Faz Tempo - Ao Vivo,36,221320,False,0.677,0.798,2,-5.84,1,0.0456,0.581,0.0,0.614,0.873,98.062,4,samba
75891,Viti Ruiz,Entre Familia,30,360280,False,0.538,0.688,9,-6.049,0,0.0711,0.778,0.0,0.318,0.893,177.68,4,salsa
5904,Khold,Dystopi,18,241564,False,0.398,0.75,2,-13.219,1,0.0384,4.59e-06,0.00219,0.101,0.25,95.004,4,black-metal
43963,Synthsoldier,You,20,171000,False,0.561,0.877,3,-5.533,0,0.0358,0.0287,0.202,0.0885,0.304,150.003,4,hardstyle
58900,K. S. Harisankar,Amme Ennasrayame,19,282000,False,0.612,0.368,1,-11.004,0,0.0299,0.287,0.0,0.346,0.229,135.08,3,malay
70005,Pink Floyd,Vera,52,93356,False,0.179,0.162,4,-22.191,0,0.162,0.678,0.022,0.119,0.0869,34.821,4,psych-rock
69783,Pink Floyd,Mother,63,334893,False,0.578,0.15,7,-17.335,1,0.0334,0.243,0.00707,0.0825,0.12,135.22,4,psych-rock
9689,Orbital,Otoño,15,348000,False,0.544,0.851,1,-9.221,1,0.0365,4.16e-06,0.756,0.062,0.369,124.993,4,breakbeat
49691,Celldweller;Styles Of Beyond,Shapeshifter - feat. Styles Of Beyond,55,217226,False,0.622,0.956,6,-3.658,1,0.133,0.00268,0.0,0.394,0.557,115.963,4,industrial
