track_id,artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
40439,Casper Esmann,Billie Jean - Acoustic Instrumental,40,291000,False,0.419,0.341,11,-13.72,0,0.0317,0.322,0.914,0.0786,0.179,152.958,3,guitar
52517,NMB48,Time bomb/アンダーガールズ,25,293013,False,0.576,0.927,3,-2.514,1,0.0723,0.119,0.0,0.324,0.682,120.026,4,j-idol
78227,Jodi Benson;Samuel E. Wright;Rob Paulsen;Clancy Brown;Kay E Kuter,"Down to the Sea (from ""The Little Mermaid II: Return to the Sea"")",24,211160,False,0.437,0.539,5,-7.836,1,0.0845,0.734,0.0,0.134,0.566,121.544,3,show-tunes
74039,Gruppa Express,Тонкая рябина,5,245186,False,0.389,0.54,8,-5.879,0,0.0285,0.809,0.0,0.132,0.463,159.877,3,romance
43977,Zany;Otto Wunderbar;Dansado & De Feestmeester,Nothing But The Feest - Radio Edit,20,160547,False,0.76,0.893,9,-3.176,0,0.164,0.224,1.14e-06,0.149,0.631,149.963,4,hardstyle
29222,Babasónicos,Fan de Scorpions,41,134971,False,0.554,0.772,7,-7.366,1,0.0327,0.539,0.537,0.114,0.619,129.955,4,electronic
76947,Henrique & Juliano,Pra Que Juízo - Ao Vivo,57,162280,False,0.562,0.861,9,-4.248,1,0.0418,0.669,8.02e-06,0.422,0.249,109.497,4,sertanejo
79936,Huma,Ons,71,193239,False,0.111,0.0185,0,-32.335,1,0.0424,0.957,0.94,0.087,0.0459,76.153,3,sleep
9204,Legião Urbana,Mil Pedaços,44,203253,False,0.685,0.131,7,-15.824,1,0.0298,0.651,0.000536,0.141,0.183,109.176,4,brazil
15549,Lalgudi G. Jayaraman,Innam En Manam - Charukesi - Adi,35,483040,False,0.663,0.484,7,-7.175,1,0.068,0.776,0.0,0.135,0.764,125.288,4,classical
37336,Deathstars,Bodies,21,276600,False,0.549,0.957,2,-5.38,1,0.0752,0.00155,0.24,0.34,0.175,115.044,4,goth
47129,NEIKED;Anne-Marie;Latto,I Just Called,0,150560,False,0.626,0.849,7,-3.662,1,0.123,0.0732,0.0,0.593,0.898,138.997,4,house
35192,MERO;Murda,Konum Gizli,0,198581,False,0.862,0.506,10,-8.651,0,0.267,0.0542,2.96e-05,0.117,0.512,136.052,4,german
47354,Susumu Yokota,Saku,18,345840,False,0.395,0.156,2,-17.997,1,0.0337,0.833,0.893,0.117,0.115,118.257,4,idm
12248,Marshall Jefferson;Curtis McClain;Maurice Joshua,Move Your Body - Maurice Joshua Vocal Mix,17,512640,False,0.867,0.391,0,-12.229,1,0.079,0.00926,0.351,0.0685,0.591,125.996,4,chicago-house
47624,LFO,LFO (Leeds Warehouse Mix),39,207960,False,0.759,0.849,10,-14.094,0,0.0663,0.0569,0.911,0.236,0.639,124.664,4,idm
57532,Emmanuel,La Chica De Humo - MTV Unplugged,0,298546,False,0.769,0.728,11,-5.962,0,0.0498,0.0895,0.0,0.932,0.272,102.059,4,latin
23806,Level 42,Lessons In Love,0,245800,False,0.685,0.928,7,-4.968,1,0.0471,0.0901,0.000125,0.206,0.882,112.993,4,disco
14185,ASTN,Happier Than Ever,76,109325,True,0.667,0.457,6,-6.885,0,0.439,0.341,0.0,0.114,0.266,97.604,4,chill
19248,Charlie Puth,Loser,75,204376,False,0.698,0.623,8,-7.845,0,0.037,0.623,0.0856,0.179,0.625,102.002,4,dance
42549,The Notorious B.I.G.,Hypnotize - 2014 Remaster,0,229826,True,0.9,0.697,9,-3.439,1,0.282,0.146,0.0,0.287,0.67,93.94,4,hardcore
22616,Hadise,My Man and the Devil on His Shoulder,26,275640,False,0.771,0.719,7,-4.046,1,0.0546,0.0108,0.000154,0.0524,0.758,150.025,4,deep-house
57117,TINI;Lalo Ebratt,Fresa,0,165646,False,0.781,0.866,5,-3.493,0,0.0867,0.216,0.0,0.101,0.864,95.993,4,latin
28975,Melanie Martinez,Teacher's Pet,76,241893,True,0.686,0.794,7,-6.136,0,0.0385,0.27,2.25e-05,0.125,0.532,140.952,3,electro
80921,Granular,Tin White Noise,32,182050,False,0.0,2.03e-05,1,-16.187,1,0.0,0.00385,0.903,0.921,0.0,0.0,0,sleep
21260,Arch Enemy,Handshake with Hell,51,338960,False,0.24,0.961,10,-7.592,0,0.123,3.63e-05,0.00426,0.164,0.0576,102.424,4,death-metal
36007,Asaph Borba,Alto Preço,41,249653,False,0.386,0.437,10,-9.335,1,0.0282,0.761,0.0,0.382,0.29,107.735,4,gospel
85143,Otros Aires,Quisiera Que Estes Conmigo,23,238520,False,0.319,0.66,9,-5.336,0,0.0585,0.441,0.00555,0.0699,0.32,79.254,4,tango
75685,Gilberto Santa Rosa,Un Amor para la Historia - Bolero/Balada,31,216013,False,0.443,0.514,9,-3.897,1,0.0319,0.581,0.0,0.126,0.364,150.08,4,salsa
32326,Pablo,Prego e Martelo,39,178678,False,0.773,0.8,4,-3.929,1,0.0389,0.75,0.0,0.122,0.792,131.948,4,forro
79304,Los Caligaris,Rimas Perfectas,40,188113,False,0.568,0.829,9,-5.836,1,0.0291,0.00617,0.0,0.273,0.942,141.974,4,ska
72339,Los Pasteles Verdes,Detalles,34,320040,False,0.573,0.545,9,-7.274,1,0.0632,0.128,8.17e-06,0.0763,0.491,170.069,4,rock-n-roll
46867,Stonewall Jackson,Life of a Poor Boy,10,142506,False,0.808,0.7,9,-7.606,1,0.0359,0.653,0.0,0.0434,0.911,97.673,4,honky-tonk
11663,Kayee Tam,"天使 - 劇集 ""寶寶大過天"" 主題曲",22,186538,False,0.39,0.374,3,-7.49,1,0.0291,0.877,0.0,0.1,0.44,112.003,4,cantopop
33054,Bernard Lavilliers;Bonga,Angola,33,244400,False,0.751,0.515,7,-7.752,0,0.0377,0.811,0.0242,0.136,0.609,94.967,4,french
45880,Baba Sehgal;Rita,Jalsa Jalsa,56,258384,False,0.922,0.906,7,-8.513,1,0.144,0.339,0.000163,0.099,0.808,111.963,4,hip-hop
